Cancer type,Datasets,Omics,Origin,Year,Country,PMID,Journal,Data banks/repositories,Accession numbers/web links
LUAD,Alvaro_2021,RNA-seq,h,2021,USA,34656143,Journal of Hematology & Oncology,GEO,GSE226069
LUSC,Alvaro_2021,RNA-seq,h,2021,USA,34656143,Journal of Hematology & Oncology,GEO,GSE226069
LUAD,Dolgalev_2023,RNA-seq,h,2023,USA,37938580,Nature Communications,GEO,GSE229705
LUAD,Eisner_2023,RNA-seq,h,2023,USA,37233991,Clinical Cancer Research,GEO,GSE232569
LUAD,Depmap_2023,RNA-seq,cells,2023,USA,,,Depmap 23Q4,https://depmap.org/portal/download/all/
LUSC,Depmap_2023,RNA-seq,cells,2023,USA,,,Depmap 23Q4,https://depmap.org/portal/download/all/
SCLC,Depmap_2023,RNA-seq,cells,2023,USA,,,Depmap 23Q4,https://depmap.org/portal/download/all/
LUAD,CCLE_2019,RNA-seq,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
LUSC,CCLE_2019,RNA-seq,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
SCLC,CCLE_2019,RNA-seq,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
LUAD,Yoo_2022,RNA-seq,h,2022,USA,35332150,Nature Communications,GEO,GSE166720
LUAD,Xu_2020,RNA-seq,h,2020,China,32649877,Cell,GEO;Article,GSE140343;supplementary
LUAD,Chen_2020,RNA-seq,h,2020,China,32649875,Cell,Article,supplementary
LUAD,Chen-NG_2020,RNA-seq,h,2020,Singapore,32015526,Nature Genetics,OncoSG,https://src.gisapps.org/OncoSG_public/datasets; https://bioinfo.asia/oncosg_public/
LUAD,Gillette_2020,RNA-seq,h,2020,USA,32649874,Cell,Article,supplementary
LUAD,TCGA_2023,RNA-seq,h,2023,USA,25079552,Nature,R tools/XENA/GDC,TCGAbiolinks;XENA;https://portal.gdc.cancer.gov/
LUAD,Mirhadi_2022,Array,m,2022,Canada,35383171,Nature Communications,GEO,GSE166999
LUSC,Mirhadi_2022,Array,m,2022,Canada,35383171,Nature Communications,GEO,GSE166999
LUAD,Djureinovic_2016,RNA-seq,h,2016,Sweden,27699219,JCI Insight,GEO,GSE81089
LUSC,Djureinovic_2016,RNA-seq,h,2016,Sweden,27699219,JCI Insight,GEO,GSE81089
LUSC,Satpathy_2021,RNA-seq,h,2021,USA,34358469,Cell,Article,supplementary
LUSC,Stewart_2019,RNA-seq,h,2019,USA,31395880,Nature Communications,Article,supplementary
LUSC,Sun_2022,RNA-seq,h,2022,USA,35842613,Molecular Cancer,GEO,GSE181043
LUSC,TCGA_2023,RNA-seq,h,2023,USA,22960745,Nature,R tools/XENA/GDC,TCGAbiolinks;XENA;https://portal.gdc.cancer.gov/
SCLC,Liu_2024,RNA-seq,h,2024,China,38181741,Cell,Article,supplementary
SCLC,Liu-mouse_2024,RNA-seq,m,2024,China,38181741,Cell,Article,supplementary
SCLC,George_2015,RNA-seq,h,2015,Germany,26168399,Nature,Article,supplementary
SCLC,Jiang_2016,RNA-seq,h,2016,China,27093186,Plos Genetics,GEO,GSE60052
SCLC,Simpson_2020,RNA-seq,m,2020,UK,35121965,Nature Cancer,Zenodo,https://zenodo.org/records/3574846
SCLC,Gay_2021,RNA-seq,cells,2021,USA,33482121,Cancer Cell,GEO,GSE151904
LUAD,Seo_2012,RNA-seq,h,2012,Korea,22975805,Genome Research,GEO,GSE40419
LUAD,Lehtio_2021,RNA-seq,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUSC,Lehtio_2021,RNA-seq,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUAD,Yu_2023,RNA-seq,cells,2023,Korea,36717865,Journal of Experimental & Clinical Cancer Research,GEO,GSE165611
LUAD,Lin_2021,RNA-seq,h,2021,China,33452453,Oncogene,GEO,GSE136949
LUSC,Lin_2021,RNA-seq,h,2021,China,33452453,Oncogene,GEO,GSE136949
LUAD,Jia_2018,RNA-seq,h,2018,China,30560866,Nature Communications,GEO,GSE112996
LUSC,Jia_2018,RNA-seq,h,2018,China,30560866,Nature Communications,GEO,GSE112996
LUAD,Parker-batchB_2022,RNA-seq,h,2022,Australia,36404344,Genome Medicine,GEO,GSE201221
LUSC,Parker-batchB_2022,RNA-seq,h,2022,Australia,36404344,Genome Medicine,GEO,GSE201221
LUAD,Parker-batchH_2022,RNA-seq,h,2022,Australia,36404344,Genome Medicine,GEO,GSE201221
LUAD,Robinson_2017,RNA-seq,h,2017,USA,28783718,Nature,Article/XENA/Met500,supplementary;XENA;https://met500.med.umich.edu/
LUAD,Altorki_2022,RNA-seq,h,2022,USA,35385730,Cell Reports,GEO,GSE193725
LUAD,Kumagai_2022,RNA-seq,h,2022,Japan,35090594,Cancer Cell,GEO,GSE190139
LUSC,Kumagai_2022,RNA-seq,h,2022,Japan,35090594,Cancer Cell,GEO,GSE190139
LUAD,Zhang_2021,RNA-seq,h,2021,USA,34493867,Nature Genetics,GEO,GSE171415
SCLC,George_2024,RNA-seq,"h,m",2024,Germany,38480884,Nature,Article,supplementary
LUAD,Gurule_2021,RNA-seq,h,2021,USA,34001994,Npj Precision Oncology,GEO,GSE165019
LUAD,Gentles-bulk_2020,RNA-seq,h,2020,USA,32381040,Genome Biology,GEO,GSE111907
